iter	Accuracy	MultiClass	F1:class=0	F1:class=1	F1:class=2
0	0.9374886448	0.8989356486	0.9677358857	0	0
1	0.9374886448	0.7605648772	0.9677358857	0	0
2	0.9374886448	0.6576651642	0.9677358857	0	0
3	0.9374886448	0.5773283856	0.9677358857	0	0
4	0.9374886448	0.5112205082	0.9677358857	0	0
5	0.9374886448	0.4566404928	0.9677358857	0	0
6	0.9374886448	0.4129449252	0.9677358857	0	0
7	0.9401575	0.3756676154	0.9690320573	0.1147465011	0
8	0.9427511762	0.3417983722	0.9703219185	0.193770405	0
9	0.943997895	0.312976171	0.9709301758	0.2384117246	0
10	0.9457771318	0.2890196539	0.9717878761	0.3051228521	0
11	0.9469486715	0.2684978291	0.9723796912	0.3307248439	0
12	0.9483958677	0.2499188101	0.9730967335	0.3696617174	0
13	0.9492291018	0.234354136	0.97351357	0.3893285101	0
14	0.9499119779	0.2206800268	0.9738516132	0.4070612669	0
15	0.9504695556	0.2096376658	0.974130597	0.4198165138	0
16	0.9514594127	0.1992280271	0.9746163624	0.4466823798	0
17	0.9519981957	0.1903659253	0.9748859346	0.4585483073	0
18	0.9522550574	0.1826590272	0.9750133605	0.4646620767	0
19	0.9527938403	0.1757512839	0.9752915985	0.4724089636	0
20	0.9530569669	0.1694469048	0.9754222305	0.4785634744	0
21	0.9532699741	0.1643484888	0.9755311855	0.4820833333	0
22	0.9534516568	0.1595909511	0.9756188801	0.4874077141	0
23	0.9535706902	0.1553198808	0.9756754007	0.4912810655	0
24	0.9537461079	0.1519321782	0.9757647576	0.4943142896	0
25	0.9540530889	0.1479735835	0.9759174613	0.5011903952	0
26	0.9541909171	0.1444748789	0.9759844977	0.5049095957	0
27	0.9543099506	0.1415126189	0.9760469798	0.5061628064	0
28	0.9543162155	0.1389729158	0.9760471961	0.5075312394	0
29	0.9546106666	0.1367972417	0.9761961868	0.5129756622	0
30	0.9547484949	0.1348079835	0.9762651937	0.5158219362	0
31	0.9547860844	0.1332469655	0.9762805449	0.5180336628	0
32	0.9548863231	0.1317834421	0.9763311081	0.5199359915	0
33	0.9550554759	0.130595149	0.9764151254	0.5236735507	0
34	0.9550930654	0.1294964614	0.9764311314	0.5255841663	0
35	0.9551682444	0.1287368288	0.9764708977	0.5262530623	0
36	0.9551807742	0.1277490332	0.9764749985	0.5273868517	0
37	0.9552559532	0.126972437	0.9765146134	0.5281173594	0
38	0.9553123375	0.1262833852	0.9765452112	0.5283068783	0
39	0.9553561919	0.1255459989	0.9765641444	0.5304158703	0
40	0.9553937814	0.1249201987	0.9765815665	0.5317371571	0
41	0.9554376359	0.124420314	0.9766026664	0.5329655897	0
42	0.9554626955	0.1239150166	0.976612285	0.5346340186	0
43	0.9555691992	0.1232758463	0.976664144	0.5373523847	0
44	0.9556067887	0.1229778116	0.9766826591	0.5382259011	0
45	0.9556694378	0.1225753716	0.976714186	0.5394180066	0
46	0.9557195572	0.1222298628	0.9767392878	0.5404175067	0
47	0.9557508818	0.121836304	0.976752453	0.5420233463	0
48	0.9557070274	0.1215698804	0.9767287234	0.5418368008	0
49	0.9558072661	0.1211717733	0.9767786366	0.5439379243	0
